gender,senior_citizen,partner,dependents,tenure_months,contract,internet_service,online_security,tech_support,payment_method,support_calls,late_payments,monthly_charges,total_charges,churn
Male,0,No,Yes,36,Month-to-month,Fiber optic,No,Yes,Electronic check,3,2,81.21,2974.09,1
Male,0,Yes,No,19,One year,Fiber optic,Yes,No,Electronic check,0,1,70.21,1324.17,1
Male,1,Yes,Yes,26,Month-to-month,No,No internet service,No internet service,Electronic check,3,1,26.5,675.64,1
Male,0,Yes,No,4,Month-to-month,Fiber optic,No,No,Mailed check,2,0,77.47,365.99,1
Female,0,Yes,No,26,Month-to-month,Fiber optic,No,Yes,Bank transfer,4,2,83.58,2232.27,1
Male,1,No,No,18,One year,DSL,No,Yes,Electronic check,2,0,65.76,1219.59,0
Male,0,No,No,48,Month-to-month,Fiber optic,No,No,Electronic check,3,1,93.93,4419.33,0
Male,0,No,No,21,Month-to-month,Fiber optic,No,No,Electronic check,0,1,65.27,1303.53,0
Female,0,Yes,No,44,Two year,Fiber optic,No,Yes,Electronic check,0,0,91.44,4046.96,0
Female,0,Yes,No,41,One year,Fiber optic,Yes,Yes,Bank transfer,1,0,86.37,3416.36,0
Female,0,Yes,No,41,Two year,Fiber optic,No,Yes,Bank transfer,0,0,73.9,3128.29,1
Female,0,No,No,22,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,1,1,83.94,1854.85,1
Female,0,No,No,27,Month-to-month,No,No internet service,No internet service,Bank transfer,2,0,31.22,800.7,0
Male,0,No,Yes,35,One year,DSL,Yes,No,Electronic check,0,0,53.05,1824.86,0
Female,0,No,No,28,Month-to-month,Fiber optic,Yes,Yes,Electronic check,3,1,68.32,1985.38,1
Female,0,No,Yes,21,Two year,Fiber optic,No,Yes,Bank transfer,0,0,83.72,1682.54,0
Female,0,Yes,No,12,Month-to-month,Fiber optic,No,No,Bank transfer,2,1,70.82,734.46,1
Female,0,Yes,No,26,Two year,Fiber optic,No,No,Credit card,2,1,64.85,1626.5,1
Female,0,Yes,No,7,Month-to-month,Fiber optic,No,Yes,Bank transfer,2,0,66.91,486.09,1
Female,0,Yes,Yes,3,One year,Fiber optic,No,No,Bank transfer,0,0,72.25,312.87,1
Female,0,No,Yes,10,Month-to-month,DSL,Yes,Yes,Credit card,1,0,74.33,816.34,0
Male,0,Yes,No,41,One year,No,No internet service,No internet service,Bank transfer,3,2,18.0,711.82,0
Female,0,No,No,31,Month-to-month,Fiber optic,Yes,Yes,Credit card,1,2,86.26,2691.05,1
Female,0,No,No,41,Two year,DSL,No,Yes,Electronic check,0,0,74.71,3083.99,0
Female,0,No,No,15,Month-to-month,DSL,Yes,Yes,Electronic check,1,0,71.59,1087.15,1
Female,0,No,Yes,52,One year,DSL,No,No,Bank transfer,2,0,49.04,2431.92,0
Female,0,Yes,No,7,Month-to-month,DSL,Yes,No,Mailed check,0,1,55.23,367.78,0
Female,0,No,No,10,Month-to-month,DSL,No,Yes,Electronic check,1,2,53.26,580.01,1
Male,0,Yes,Yes,51,Two year,DSL,No,Yes,Bank transfer,2,0,57.66,3052.6,0
Male,0,No,No,29,One year,No,No internet service,No internet service,Bank transfer,2,0,20.76,625.9,0
Female,0,No,Yes,41,Month-to-month,Fiber optic,No,No,Mailed check,0,0,66.94,2810.11,0
Male,0,Yes,Yes,31,One year,Fiber optic,Yes,No,Electronic check,0,1,75.16,2382.93,0
Female,0,Yes,Yes,17,Month-to-month,Fiber optic,No,Yes,Mailed check,4,0,64.25,1069.45,1
Female,0,No,No,9,Month-to-month,Fiber optic,No,No,Bank transfer,1,0,67.98,531.68,1
Male,0,No,No,4,Month-to-month,No,No internet service,No internet service,Electronic check,3,0,45.87,251.38,0
Male,1,No,Yes,72,One year,DSL,No,No,Electronic check,0,1,38.2,2861.55,0
Female,0,Yes,No,6,One year,Fiber optic,No,Yes,Bank transfer,1,0,89.61,512.32,1
Female,0,No,No,64,Two year,No,No internet service,No internet service,Credit card,1,0,32.78,2169.41,0
Male,0,No,No,28,Two year,No,No internet service,No internet service,Electronic check,0,0,29.58,837.26,0
Female,0,Yes,Yes,32,One year,Fiber optic,No,No,Electronic check,1,1,65.2,2003.61,0
Male,0,No,Yes,30,Month-to-month,No,No internet service,No internet service,Electronic check,0,3,31.86,958.61,0
Female,0,No,Yes,38,One year,Fiber optic,Yes,No,Electronic check,0,0,91.24,3433.02,1
Male,0,No,No,14,Month-to-month,DSL,No,Yes,Bank transfer,2,0,66.3,954.77,1
Male,0,Yes,No,3,One year,DSL,Yes,Yes,Electronic check,1,1,66.68,224.0,0
Male,0,Yes,Yes,17,Month-to-month,Fiber optic,Yes,No,Mailed check,1,0,76.87,1268.09,1
Female,0,No,No,36,Two year,DSL,Yes,Yes,Credit card,0,0,59.61,2067.48,0
Female,0,No,Yes,10,Month-to-month,DSL,No,No,Electronic check,1,1,50.6,478.51,0
Female,0,Yes,Yes,52,Month-to-month,DSL,No,No,Bank transfer,0,0,54.12,2907.23,0
Female,0,No,No,24,Two year,No,No internet service,No internet service,Credit card,0,0,25.12,532.45,0
Male,0,Yes,Yes,10,Month-to-month,No,No internet service,No internet service,Mailed check,0,0,24.18,285.28,0
Male,1,No,Yes,29,Month-to-month,No,No internet service,No internet service,Electronic check,1,1,24.29,740.32,0
Male,0,Yes,No,35,One year,Fiber optic,No,No,Electronic check,0,2,84.49,2924.05,1
Male,0,Yes,No,37,Two year,No,No internet service,No internet service,Credit card,1,2,26.23,919.93,0
Male,0,No,No,51,Month-to-month,Fiber optic,Yes,Yes,Credit card,0,1,86.53,4448.67,0
Male,0,Yes,No,7,Month-to-month,Fiber optic,Yes,No,Electronic check,1,0,57.64,401.8,1
Male,0,No,No,51,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,0,0,92.56,4690.36,0
Female,0,No,No,54,One year,DSL,No,Yes,Electronic check,0,0,62.53,3404.92,0
Female,0,Yes,No,9,Month-to-month,Fiber optic,Yes,Yes,Electronic check,1,0,89.15,899.91,1
Male,0,No,No,11,Month-to-month,Fiber optic,No,Yes,Credit card,1,0,82.69,983.97,0
Male,0,No,Yes,43,One year,No,No internet service,No internet service,Mailed check,0,0,18.0,781.71,0
Female,0,No,No,19,Two year,DSL,No,No,Electronic check,0,1,47.5,699.69,0
Male,0,No,Yes,60,Two year,DSL,Yes,No,Mailed check,2,0,70.92,4240.87,0
Female,0,Yes,No,70,Two year,DSL,No,No,Credit card,0,0,38.62,2643.18,0
Female,0,Yes,No,10,Month-to-month,DSL,No,Yes,Credit card,2,0,47.1,458.79,0
Female,0,Yes,No,14,Month-to-month,No,No internet service,No internet service,Bank transfer,2,0,18.0,231.05,0
Male,0,No,No,28,Month-to-month,Fiber optic,No,No,Credit card,1,0,68.35,1894.85,1
Male,0,Yes,No,3,Month-to-month,DSL,Yes,No,Credit card,3,1,69.58,273.33,1
Male,0,Yes,Yes,5,Month-to-month,Fiber optic,No,No,Credit card,2,0,72.05,346.59,1
Male,0,No,No,12,Month-to-month,Fiber optic,No,No,Bank transfer,3,0,78.52,925.97,1
Male,0,Yes,Yes,72,One year,DSL,No,No,Bank transfer,2,1,33.83,2464.36,1
Male,0,No,No,31,Month-to-month,Fiber optic,Yes,No,Credit card,4,1,70.09,2109.34,0
Female,0,Yes,No,16,Month-to-month,DSL,Yes,Yes,Mailed check,2,0,59.37,929.66,1
Male,0,Yes,No,11,Month-to-month,Fiber optic,Yes,Yes,Mailed check,1,0,97.64,991.82,1
Male,0,Yes,No,9,One year,Fiber optic,No,No,Credit card,2,0,70.97,676.09,1
Female,0,Yes,Yes,16,Month-to-month,DSL,Yes,No,Credit card,4,1,56.43,916.77,0
Male,0,No,Yes,16,One year,Fiber optic,Yes,No,Mailed check,0,0,78.39,1378.36,1
Female,0,Yes,No,22,Month-to-month,Fiber optic,No,No,Bank transfer,0,1,67.93,1396.44,1
Male,0,No,Yes,37,Two year,Fiber optic,No,No,Credit card,0,0,85.74,3230.59,0
Female,0,No,No,24,Month-to-month,Fiber optic,Yes,No,Mailed check,1,0,92.42,2112.87,1
Male,0,Yes,No,45,One year,DSL,No,Yes,Mailed check,1,1,66.79,2945.8,0
Male,1,No,No,21,One year,Fiber optic,Yes,No,Electronic check,1,0,84.89,1653.95,1
Male,0,No,Yes,72,One year,Fiber optic,No,Yes,Electronic check,0,0,73.74,5313.42,0
Female,0,Yes,Yes,44,One year,DSL,Yes,Yes,Electronic check,0,2,68.58,3033.88,0
Female,0,No,No,31,Month-to-month,Fiber optic,No,No,Mailed check,2,0,53.8,1648.47,1
Male,0,Yes,No,37,Two year,Fiber optic,Yes,No,Credit card,0,0,73.39,2584.33,0
Male,0,No,No,17,Two year,Fiber optic,No,No,Electronic check,0,0,57.4,943.85,1
Female,0,Yes,No,22,Month-to-month,No,No internet service,No internet service,Electronic check,3,0,28.84,642.23,0
Female,0,No,No,21,Two year,DSL,Yes,Yes,Bank transfer,1,1,64.02,1289.54,0
Female,0,No,Yes,14,Month-to-month,Fiber optic,No,No,Electronic check,2,1,75.97,1061.89,1
Male,0,No,No,8,Month-to-month,Fiber optic,No,No,Credit card,1,1,75.07,665.4,1
Male,0,No,No,38,One year,Fiber optic,No,No,Electronic check,2,0,78.83,2961.11,0
Male,1,Yes,No,49,Month-to-month,No,No internet service,No internet service,Credit card,1,0,18.71,851.56,0
Female,0,No,No,34,Two year,DSL,Yes,No,Mailed check,1,0,42.46,1438.79,0
Male,0,Yes,No,24,Two year,Fiber optic,No,Yes,Credit card,0,0,93.37,2349.81,0
Male,0,Yes,No,72,Two year,Fiber optic,No,No,Mailed check,1,0,65.49,4745.58,0
Male,0,Yes,Yes,15,One year,Fiber optic,No,No,Credit card,1,0,69.47,951.49,1
Female,0,No,Yes,31,Month-to-month,Fiber optic,Yes,No,Mailed check,2,0,85.41,2729.07,1
Female,0,No,No,54,Two year,Fiber optic,No,Yes,Bank transfer,2,1,75.49,4051.61,0
Male,0,Yes,No,10,Month-to-month,DSL,Yes,Yes,Electronic check,2,0,55.69,542.88,0
Female,0,No,No,40,Two year,Fiber optic,Yes,No,Mailed check,0,0,93.77,3673.47,1
Female,0,No,No,72,Month-to-month,Fiber optic,No,No,Electronic check,1,3,65.45,4721.3,0
Male,0,Yes,No,26,Two year,Fiber optic,Yes,Yes,Credit card,2,1,99.63,2473.13,0
Male,0,Yes,Yes,29,One year,DSL,Yes,No,Bank transfer,1,0,59.81,1666.9,0
Female,1,No,No,15,Month-to-month,No,No internet service,No internet service,Bank transfer,0,0,32.93,530.43,0
Female,0,No,Yes,36,Month-to-month,Fiber optic,Yes,Yes,Electronic check,0,2,92.77,3347.32,1
Male,1,Yes,No,14,Month-to-month,DSL,No,No,Electronic check,2,0,46.6,607.17,1
Female,1,No,No,25,Month-to-month,DSL,No,Yes,Bank transfer,2,1,62.7,1555.86,1
Female,0,Yes,Yes,7,One year,Fiber optic,No,No,Mailed check,1,0,85.69,641.66,1
Female,0,No,No,1,Month-to-month,No,No internet service,No internet service,Mailed check,1,1,35.47,58.44,0
Male,1,Yes,No,18,Month-to-month,Fiber optic,Yes,No,Credit card,0,0,86.17,1590.79,1
Female,0,Yes,No,18,Month-to-month,No,No internet service,No internet service,Electronic check,3,1,30.43,476.46,0
Male,0,Yes,Yes,19,Month-to-month,Fiber optic,No,Yes,Bank transfer,0,0,77.13,1423.01,0
Male,0,No,Yes,43,Month-to-month,Fiber optic,No,No,Electronic check,1,0,63.09,2828.99,1
Female,0,Yes,No,50,Two year,Fiber optic,Yes,Yes,Bank transfer,0,0,97.69,4860.7,0
Female,1,Yes,No,32,One year,DSL,No,Yes,Bank transfer,1,0,53.39,1680.9,0
Female,0,Yes,No,41,Two year,DSL,Yes,No,Bank transfer,0,2,53.04,2182.0,0
Female,1,No,Yes,14,Month-to-month,Fiber optic,No,No,Bank transfer,2,0,70.09,994.49,1
Female,0,Yes,No,11,Month-to-month,DSL,Yes,No,Electronic check,3,1,45.23,437.68,1
Female,0,Yes,Yes,37,Month-to-month,DSL,No,No,Electronic check,3,0,46.97,1588.54,1
Male,0,Yes,Yes,10,Month-to-month,DSL,Yes,Yes,Electronic check,1,1,58.91,569.8,1
Female,1,No,No,9,Month-to-month,DSL,No,No,Bank transfer,2,1,38.46,344.98,1
Male,1,Yes,No,72,Month-to-month,DSL,No,No,Electronic check,2,2,39.9,2766.65,1
Male,1,Yes,No,27,One year,DSL,No,No,Mailed check,3,0,49.67,1357.09,0
Male,0,No,No,18,Month-to-month,No,No internet service,No internet service,Mailed check,0,0,33.07,615.39,0
Female,0,No,Yes,16,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,4,1,84.14,1404.6,0
Female,0,No,No,7,Month-to-month,Fiber optic,No,No,Mailed check,1,0,61.12,361.97,1
Male,1,Yes,Yes,32,One year,DSL,No,Yes,Credit card,0,0,52.6,1705.24,0
Male,0,No,No,21,Month-to-month,DSL,Yes,No,Credit card,2,0,59.6,1284.7,0
Female,0,No,No,49,One year,No,No internet service,No internet service,Mailed check,2,0,34.04,1756.62,0
Male,0,No,No,38,Month-to-month,Fiber optic,No,No,Credit card,0,0,77.54,2997.63,0
Male,0,No,No,20,Month-to-month,Fiber optic,No,Yes,Credit card,0,0,79.79,1659.17,1
Female,0,No,No,4,Month-to-month,DSL,No,No,Electronic check,1,1,62.0,257.14,1
Male,0,No,Yes,27,Month-to-month,Fiber optic,No,No,Bank transfer,1,0,65.64,1745.17,0
Female,0,Yes,No,25,Month-to-month,Fiber optic,Yes,No,Mailed check,1,0,67.47,1762.94,1
Male,0,No,No,3,One year,DSL,No,No,Credit card,1,0,47.59,66.62,0
Male,0,No,No,35,Two year,Fiber optic,No,No,Credit card,0,0,79.97,2890.48,0
Male,0,No,No,10,Month-to-month,DSL,Yes,Yes,Bank transfer,2,0,70.47,752.2,0
Male,0,Yes,No,51,Month-to-month,Fiber optic,No,No,Bank transfer,1,0,78.6,3988.42,0
Male,0,Yes,No,24,Month-to-month,DSL,Yes,Yes,Bank transfer,0,1,64.17,1444.72,1
Male,0,No,No,16,Two year,Fiber optic,Yes,Yes,Mailed check,1,1,86.05,1372.58,0
Male,0,No,No,30,Month-to-month,Fiber optic,No,No,Mailed check,1,1,68.2,2007.9,1
Female,0,Yes,No,29,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,3,1,78.03,2167.92,0
Male,1,No,Yes,28,Month-to-month,No,No internet service,No internet service,Credit card,2,1,25.21,671.59,1
Male,0,Yes,No,47,Two year,DSL,Yes,No,Bank transfer,0,0,55.15,2646.23,0
Male,0,No,No,31,Month-to-month,No,No internet service,No internet service,Electronic check,0,0,21.07,652.57,0
Male,0,No,No,15,Month-to-month,Fiber optic,No,Yes,Electronic check,5,1,82.79,1227.37,1
Female,0,No,No,21,Month-to-month,No,No internet service,No internet service,Mailed check,2,1,25.97,451.27,0
Female,0,Yes,No,63,Two year,Fiber optic,No,No,Bank transfer,1,0,80.76,5076.93,0
Female,1,Yes,No,14,Month-to-month,Fiber optic,Yes,Yes,Mailed check,3,3,78.02,1186.7,0
Male,0,Yes,No,34,Two year,Fiber optic,No,No,Mailed check,0,1,66.7,2270.06,1
Male,1,No,Yes,48,Two year,Fiber optic,No,Yes,Credit card,1,1,63.79,3040.23,1
Female,0,No,No,37,One year,No,No internet service,No internet service,Credit card,0,0,18.0,710.86,0
Male,0,No,No,27,Two year,Fiber optic,Yes,No,Mailed check,1,0,81.98,2289.39,0
Male,0,No,No,30,Two year,Fiber optic,No,Yes,Bank transfer,0,0,84.46,2616.63,0
Male,0,Yes,No,38,Month-to-month,Fiber optic,Yes,No,Mailed check,3,0,82.49,3155.28,0
Male,0,Yes,No,14,One year,DSL,Yes,No,Bank transfer,1,0,67.33,844.1,0
Male,0,No,No,26,Month-to-month,DSL,No,Yes,Electronic check,1,1,62.31,1679.58,1
Male,0,No,No,72,One year,Fiber optic,Yes,No,Mailed check,1,0,77.48,5555.01,0
Male,0,Yes,Yes,35,One year,Fiber optic,No,No,Bank transfer,1,0,75.33,2604.96,0
Male,0,No,No,28,Two year,Fiber optic,Yes,Yes,Mailed check,0,0,78.92,2151.32,0
Male,0,No,Yes,20,Two year,Fiber optic,No,No,Bank transfer,1,0,56.86,1169.74,0
Female,0,Yes,No,14,Month-to-month,DSL,No,Yes,Electronic check,0,1,54.87,825.6,1
Female,0,Yes,No,31,One year,DSL,No,No,Electronic check,1,0,47.82,1442.36,0
Female,0,No,No,33,One year,DSL,No,Yes,Credit card,2,0,58.91,1982.6,0
Female,0,Yes,No,24,Two year,DSL,Yes,Yes,Mailed check,0,1,58.64,1473.32,0
Female,0,Yes,No,72,One year,Fiber optic,Yes,No,Electronic check,2,2,72.22,5221.8,0
Male,0,No,No,15,Month-to-month,Fiber optic,No,No,Mailed check,1,1,76.34,1145.13,1
Male,0,No,No,12,Month-to-month,No,No internet service,No internet service,Electronic check,2,1,18.0,206.86,1
Female,1,Yes,Yes,20,Month-to-month,DSL,No,No,Bank transfer,5,0,49.27,946.03,0
Female,0,Yes,Yes,25,Month-to-month,Fiber optic,No,Yes,Electronic check,0,1,73.1,1873.17,1
Female,0,No,No,13,Month-to-month,Fiber optic,No,No,Credit card,4,1,56.56,803.65,1
Female,0,Yes,No,31,Month-to-month,DSL,No,No,Electronic check,1,2,46.81,1459.0,1
Male,0,No,No,33,Two year,Fiber optic,No,No,Mailed check,1,1,62.9,2049.01,0
Male,0,No,Yes,41,Month-to-month,No,No internet service,No internet service,Bank transfer,1,1,21.72,920.03,1
Male,0,Yes,Yes,17,Month-to-month,Fiber optic,No,No,Electronic check,1,1,70.72,1148.05,1
Female,0,No,No,60,Two year,Fiber optic,Yes,No,Electronic check,1,0,59.68,3656.25,0
Male,1,Yes,No,39,Month-to-month,DSL,Yes,Yes,Electronic check,3,1,73.34,2928.74,0
Female,0,No,Yes,14,One year,DSL,No,No,Electronic check,0,0,74.13,1067.64,1
Male,0,No,Yes,13,One year,DSL,Yes,No,Bank transfer,0,0,49.54,618.33,1
Female,0,Yes,Yes,21,Month-to-month,DSL,No,No,Credit card,0,0,45.37,941.28,1
Female,0,Yes,No,33,One year,Fiber optic,No,No,Mailed check,0,0,63.52,1991.75,0
Male,1,No,No,36,Month-to-month,DSL,No,No,Mailed check,4,1,41.42,1445.16,0
Male,0,Yes,No,39,One year,Fiber optic,No,Yes,Bank transfer,1,0,94.02,3710.87,0
Male,0,Yes,No,72,One year,No,No internet service,No internet service,Electronic check,1,0,22.59,1580.09,1
Female,1,Yes,No,5,Month-to-month,No,No internet service,No internet service,Mailed check,1,0,30.64,296.42,1
Female,0,Yes,No,24,Month-to-month,DSL,No,No,Credit card,0,0,59.5,1398.21,0
Male,0,No,No,72,One year,DSL,No,Yes,Electronic check,0,1,66.45,4728.74,0
Male,0,Yes,No,43,Month-to-month,Fiber optic,No,No,Electronic check,1,1,79.05,3419.38,0
Female,0,Yes,No,11,Month-to-month,DSL,No,No,Electronic check,1,1,39.55,457.97,1
Male,0,Yes,No,30,One year,Fiber optic,No,No,Bank transfer,0,1,77.38,2403.31,1
Male,0,No,No,23,Month-to-month,Fiber optic,No,No,Credit card,4,0,66.99,1525.39,1
Female,0,No,No,22,One year,Fiber optic,No,No,Mailed check,2,1,83.23,1777.75,0
Female,1,No,Yes,17,Two year,DSL,Yes,No,Electronic check,0,0,50.02,815.35,1
Male,0,No,No,28,One year,DSL,No,No,Electronic check,1,1,40.52,1206.76,0
Male,0,No,No,53,One year,No,No internet service,No internet service,Credit card,1,0,24.65,1404.91,0
Female,1,Yes,No,18,Month-to-month,No,No internet service,No internet service,Mailed check,1,0,29.79,500.44,1
Male,0,Yes,Yes,40,One year,Fiber optic,No,Yes,Electronic check,0,2,63.29,2522.61,0
Female,0,Yes,No,44,One year,Fiber optic,No,Yes,Electronic check,0,0,74.36,3354.82,0
Female,0,Yes,No,59,Two year,Fiber optic,No,Yes,Electronic check,0,1,68.83,4105.09,0
Female,0,No,No,13,Month-to-month,DSL,Yes,No,Credit card,1,0,63.99,796.56,0
Female,0,Yes,No,26,Month-to-month,No,No internet service,No internet service,Mailed check,1,0,20.08,450.86,0
Female,0,No,Yes,16,Month-to-month,DSL,Yes,No,Electronic check,2,1,65.61,1009.16,0
Male,0,Yes,Yes,28,Two year,Fiber optic,No,No,Credit card,2,0,63.87,1837.74,0
Male,0,Yes,No,28,One year,DSL,No,No,Credit card,2,1,52.03,1365.68,1
Male,0,Yes,Yes,10,Two year,Fiber optic,No,No,Electronic check,1,1,58.55,596.08,0
Female,0,Yes,No,29,One year,Fiber optic,No,No,Electronic check,3,1,68.73,1969.61,1
Male,0,Yes,No,72,Two year,Fiber optic,No,Yes,Credit card,1,0,68.83,4910.22,0
Male,0,No,No,37,One year,Fiber optic,No,No,Electronic check,1,0,81.82,2996.51,0
Female,0,No,Yes,8,Two year,Fiber optic,Yes,Yes,Electronic check,0,1,93.19,796.41,1
Female,0,No,Yes,12,Two year,Fiber optic,Yes,Yes,Mailed check,1,0,86.33,1066.29,0
Male,0,No,No,25,Two year,Fiber optic,No,No,Credit card,1,0,77.79,2005.23,0
Female,0,No,Yes,12,Two year,Fiber optic,No,No,Mailed check,2,1,65.6,736.77,1
Male,0,No,Yes,57,One year,Fiber optic,Yes,No,Electronic check,1,1,81.49,4542.59,1
Female,1,Yes,No,8,One year,Fiber optic,Yes,Yes,Bank transfer,1,0,83.96,681.09,1
Male,0,Yes,Yes,37,One year,DSL,No,No,Credit card,1,0,53.72,1985.21,0
Female,1,Yes,Yes,6,One year,Fiber optic,Yes,Yes,Electronic check,1,0,85.58,482.43,0
Male,0,No,No,25,One year,DSL,Yes,No,Electronic check,1,0,56.15,1283.32,0
Female,0,No,No,11,One year,Fiber optic,Yes,Yes,Bank transfer,0,1,70.12,821.38,0
Male,1,No,Yes,41,One year,Fiber optic,Yes,No,Electronic check,1,1,71.43,2749.93,0
Female,0,No,No,51,Two year,No,No internet service,No internet service,Bank transfer,1,0,39.12,2036.15,0
Male,0,Yes,No,33,Two year,DSL,No,Yes,Electronic check,0,0,56.68,1908.74,0
Female,0,No,No,53,One year,Fiber optic,Yes,No,Credit card,0,1,70.9,3792.25,0
Female,0,No,No,2,Month-to-month,DSL,No,Yes,Electronic check,4,0,58.0,110.35,0
Female,0,No,Yes,29,Two year,No,No internet service,No internet service,Electronic check,0,0,18.0,383.84,0
Male,0,Yes,Yes,36,Two year,DSL,Yes,Yes,Electronic check,2,0,60.84,2092.18,0
Male,0,Yes,No,40,One year,Fiber optic,No,Yes,Electronic check,0,2,79.12,3112.95,1
Female,0,Yes,No,35,One year,DSL,Yes,Yes,Bank transfer,1,0,68.58,2509.48,0
Male,0,No,No,40,One year,Fiber optic,No,No,Bank transfer,1,0,72.4,2951.57,0
Male,0,Yes,No,29,One year,DSL,No,No,Credit card,2,0,61.74,1777.79,1
Female,0,Yes,No,9,Month-to-month,Fiber optic,Yes,No,Bank transfer,0,0,71.25,602.67,1
Male,0,No,No,17,Month-to-month,DSL,No,Yes,Mailed check,1,0,45.61,781.55,0
Female,0,No,No,58,Two year,DSL,Yes,No,Credit card,0,0,53.76,3167.09,0
Male,0,No,No,53,Two year,DSL,Yes,No,Electronic check,3,1,52.11,2778.09,0
Female,1,No,No,36,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,0,0,86.11,3014.73,0
Male,0,No,No,42,Two year,DSL,No,No,Bank transfer,1,0,47.31,2071.35,0
Female,0,Yes,No,49,One year,No,No internet service,No internet service,Electronic check,0,0,25.77,1289.83,0
Male,0,No,No,36,Month-to-month,Fiber optic,No,No,Bank transfer,1,0,70.44,2503.71,1
Male,0,Yes,No,57,Two year,Fiber optic,No,No,Credit card,1,0,76.7,4391.3,0
Male,1,Yes,No,55,Month-to-month,DSL,No,Yes,Electronic check,2,0,57.5,3233.59,0
Female,0,No,No,72,Month-to-month,DSL,Yes,No,Bank transfer,0,0,58.25,4215.36,0
Female,0,No,No,18,Two year,No,No internet service,No internet service,Mailed check,1,0,38.86,724.2,0
Female,0,No,Yes,18,Month-to-month,Fiber optic,Yes,No,Mailed check,2,1,63.51,1233.43,0
Female,0,No,No,34,Month-to-month,Fiber optic,No,No,Electronic check,1,1,71.07,2377.22,1
Male,0,No,No,72,One year,Fiber optic,Yes,No,Electronic check,1,2,75.68,5389.84,0
Female,0,Yes,No,59,One year,DSL,Yes,No,Electronic check,1,0,56.99,3334.24,0
Female,1,Yes,Yes,45,One year,No,No internet service,No internet service,Credit card,1,0,29.24,1366.35,0
Female,0,Yes,No,62,One year,Fiber optic,Yes,No,Electronic check,0,0,69.93,4393.15,0
Female,0,Yes,No,37,Month-to-month,No,No internet service,No internet service,Mailed check,1,0,20.04,751.17,0
Female,1,Yes,Yes,21,Month-to-month,Fiber optic,Yes,No,Electronic check,3,0,82.47,1681.05,1
Male,0,No,No,72,Two year,DSL,No,No,Electronic check,0,0,48.35,3588.01,0
Male,0,Yes,No,35,Two year,Fiber optic,No,No,Bank transfer,0,0,61.92,2097.52,0
Female,0,No,Yes,55,One year,No,No internet service,No internet service,Bank transfer,1,0,30.89,1671.47,0
Female,1,No,Yes,2,One year,DSL,No,Yes,Mailed check,0,0,62.66,83.06,0
Female,0,Yes,No,3,Two year,Fiber optic,No,No,Bank transfer,1,1,70.85,276.22,1
Female,0,No,No,30,Month-to-month,Fiber optic,Yes,No,Bank transfer,1,2,79.86,2385.17,1
Female,0,Yes,No,12,Month-to-month,DSL,Yes,No,Electronic check,1,0,61.08,831.68,1
Female,0,No,Yes,31,One year,DSL,Yes,No,Electronic check,1,0,55.82,1778.47,0
Female,0,No,Yes,18,Two year,Fiber optic,Yes,Yes,Electronic check,0,1,87.02,1510.51,0
Male,1,Yes,No,72,Month-to-month,No,No internet service,No internet service,Mailed check,2,0,18.0,1276.99,0
Female,0,Yes,Yes,52,Month-to-month,Fiber optic,No,Yes,Electronic check,1,0,75.88,3913.73,1
Female,0,No,No,66,Two year,No,No internet service,No internet service,Mailed check,2,0,32.25,2211.53,0
Female,0,Yes,Yes,3,One year,DSL,No,No,Electronic check,0,0,67.12,252.13,1
Male,0,No,No,45,Month-to-month,DSL,No,No,Mailed check,2,1,50.52,2178.23,0
Male,0,Yes,No,23,Month-to-month,DSL,Yes,No,Mailed check,1,3,49.3,1165.4,1
Female,0,No,No,67,Month-to-month,Fiber optic,No,No,Credit card,4,0,66.7,4465.13,0
Female,0,Yes,Yes,41,Two year,Fiber optic,Yes,Yes,Credit card,1,0,72.92,2913.2,0
Male,0,Yes,No,25,One year,DSL,No,No,Credit card,0,0,54.9,1322.89,0
Male,0,Yes,No,9,Month-to-month,Fiber optic,Yes,No,Bank transfer,2,0,76.9,679.14,1
Male,0,Yes,No,29,Two year,Fiber optic,No,Yes,Credit card,0,0,69.89,1894.01,0
Female,1,No,Yes,57,One year,Fiber optic,No,Yes,Electronic check,1,0,76.0,4345.28,0
Male,1,No,Yes,69,Two year,Fiber optic,No,No,Bank transfer,3,0,75.18,5192.52,0
Male,0,Yes,No,20,Month-to-month,Fiber optic,Yes,No,Bank transfer,0,0,76.94,1523.55,0
Male,0,Yes,No,72,Month-to-month,No,No internet service,No internet service,Mailed check,1,0,19.03,1372.33,0
Female,0,Yes,No,54,One year,Fiber optic,No,No,Electronic check,0,0,77.72,4183.32,0
Female,0,No,No,13,Month-to-month,No,No internet service,No internet service,Bank transfer,4,1,27.28,287.2,0
Female,0,No,No,10,One year,No,No internet service,No internet service,Credit card,1,0,18.41,145.67,1
Female,0,No,No,24,Month-to-month,No,No internet service,No internet service,Mailed check,0,1,24.74,547.14,0
Female,1,No,No,20,Month-to-month,DSL,Yes,Yes,Electronic check,0,0,47.62,990.19,0
Male,0,Yes,Yes,37,Two year,Fiber optic,No,No,Electronic check,3,1,71.61,2585.64,0
